id,category,title,severity,code,field,detail
sa8,salads,סלט כרוב מרוקאי,medium,short_step,steps[1],"שלב 1 קצר מאוד (15 תווים): ""מגררים כרוב דק."""
v6,veg,כרוב מבושל מרוקאי,medium,short_step,steps[3],"שלב 3 קצר מאוד (18 תווים): ""מוסיפים כרוב ומים."""
d1,des,מופלטה מסורתית,medium,vague_quantity,ingr[6],"כמות מעורפלת: ""לפי הצורך"" (עבור ""שמן — לעבודה"")"
sx1,soups,מרק חומוס מרוקאי,medium,short_step,steps[3],"שלב 3 קצר מאוד (19 תווים): ""מוסיפים חומוס ומים."""
mx7,meat,תבשיל בשר עם חומוס,medium,short_step,steps[1],"שלב 1 קצר מאוד (16 תווים): ""מטגנים בצל ושום."""
cx4,chick,עוף עם קישואים,medium,short_step,steps[3],"שלב 3 קצר מאוד (16 תווים): ""מוסיפים קישואים."""
hx1,hol,סלטים חגיגיים מרוקאיים,medium,short_step,steps[3],"שלב 3 קצר מאוד (15 תווים): ""מכינים סלט גזר."""
sn3,soups,מרק אפונה יבשה,medium,short_step,steps[1],"שלב 1 קצר מאוד (16 תווים): ""מטגנים בצל ושום."""
sn5,soups,מרק בטטה וג׳ינג׳ר,medium,short_step,steps[1],"שלב 1 קצר מאוד (19 תווים): ""מטגנים בצל עד שקוף."""
sn5,soups,מרק בטטה וג׳ינג׳ר,medium,short_step,steps[3],"שלב 3 קצר מאוד (18 תווים): ""מוסיפים בטטה ומים."""
sn6,soups,ברקוקס — מרק גריסי פנינה,medium,short_step,steps[4],"שלב 4 קצר מאוד (15 תווים): ""מבשלים 45 דקות."""
sn7,soups,מרק סלק מרוקאי,medium,short_step,steps[1],"שלב 1 קצר מאוד (16 תווים): ""מטגנים בצל ושום."""
sn9,soups,חרירה צמחונית,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""מבשלים 5 דקות."""
sn10,soups,מרק עדשים ירוקות,medium,short_step,steps[2],"שלב 2 קצר מאוד (19 תווים): ""מוסיפים עדשים ומים."""
sn11,soups,מרק שומר ולימון מרוקאי,medium,short_step,steps[2],"שלב 2 קצר מאוד (18 תווים): ""מוסיפים שום וכמון."""
san2,salads,סלט כרובית מרוקאי,medium,short_step,steps[2],"שלב 2 קצר מאוד (15 תווים): ""מסננים ומצננים."""
san6,salads,סלט ארטישוק מרוקאי,medium,short_step,steps[2],"שלב 2 קצר מאוד (15 תווים): ""מסננים ומצננים."""
san8,salads,סלט פול ירוק קר עם כמון,medium,short_step,steps[2],"שלב 2 קצר מאוד (13 תווים): ""מצננים לגמרי."""
san15,salads,סלט תרד קר עם שומשום,medium,short_step,steps[2],"שלב 2 קצר מאוד (13 תווים): ""מצננים לגמרי."""
san16,salads,סלט ברוקולי מרוקאי,medium,short_step,steps[2],"שלב 2 קצר מאוד (15 תווים): ""מסננים ומצננים."""
san17,salads,סלט כוסברה ולימון,medium,short_step,steps[1],"שלב 1 קצר מאוד (17 תווים): ""קוצצים כוסברה גס."""
hn1,hol,טאג׳ין עוף עם ארטישוק ולימון,medium,short_step,steps[4],"שלב 4 קצר מאוד (15 תווים): ""מבשלים 30 דקות."""
hn3,hol,טאג׳ין כבש עם ירקות שורש,medium,short_step,steps[4],"שלב 4 קצר מאוד (15 תווים): ""מבשלים 50 דקות."""
hn5,hol,טאג׳ין עוף עם לימון כבוש וזעפרן,medium,short_step,steps[3],"שלב 3 קצר מאוד (16 תווים): ""מוסיפים כוס מים."""
hn5,hol,טאג׳ין עוף עם לימון כבוש וזעפרן,medium,short_step,steps[4],"שלב 4 קצר מאוד (15 תווים): ""מבשלים 35 דקות."""
hn6,hol,טאג׳ין בקר עם דלעת,medium,short_step,steps[3],"שלב 3 קצר מאוד (16 תווים): ""מוסיפים כוס מים."""
hn6,hol,טאג׳ין בקר עם דלעת,medium,short_step,steps[4],"שלב 4 קצר מאוד (15 תווים): ""מבשלים 60 דקות."""
hn7,hol,טאג׳ין כבש עם חומוס ומשמשים,medium,short_step,steps[3],"שלב 3 קצר מאוד (15 תווים): ""מבשלים 60 דקות."""
hn8,hol,טאג׳ין ירקות צמחוני,medium,short_step,steps[3],"שלב 3 קצר מאוד (16 תווים): ""מוסיפים כוס מים."""
fn1,fish,דג ברוטב חרמולה ירוקה,medium,short_step,steps[3],"שלב 3 קצר מאוד (16 תווים): ""מניחים דג ברוטב."""
mn5,meat,קציצות כבש ברוטב עגבניות,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""יוצרים קציצות."""
mn8,meat,בשר עם פול ירוק מרוקאי,medium,short_step,steps[3],"שלב 3 קצר מאוד (15 תווים): ""מבשלים 50 דקות."""
dn2,des,קעב אל-ע׳זאל — קרני עזים,medium,vague_quantity,ingr[5],"כמות מעורפלת: ""לפי הצורך"" (עבור ""מים"")"
spn1,span,אדאפינה — חמין יהודי-ספרדי,medium,short_step,steps[3],"שלב 3 קצר מאוד (14 תווים): ""מביאים לרתיחה."""
sau2,span,לימון כבוש ביתי,medium,vague_quantity,ingr[3],"כמות מעורפלת: ""לפי הצורך"" (עבור ""מיץ לימון — לכיסוי"")"
sane1,salads,סלט חצילים עם חינה,medium,short_step,steps[2],"שלב 2 קצר מאוד (17 תווים): ""מועכים בידיים גס."""
sane2,salads,סלט פול לוביא,medium,short_step,steps[2],"שלב 2 קצר מאוד (15 תווים): ""מסננים ומצננים."""
sane4,salads,סלט גמבה,medium,short_step,steps[1],"שלב 1 קצר מאוד (19 תווים): ""מטגנים בצל עד שקוף."""
vne8,veg,גרגרי חיטה עם ירקות,medium,short_step,steps[3],"שלב 3 קצר מאוד (15 תווים): ""מבשלים 60 דקות."""
cne2,chick,עוף עם זיתים שחורים,medium,short_step,steps[3],"שלב 3 קצר מאוד (15 תווים): ""מבשלים 35 דקות."""
cne3,chick,עוף עם ג׳ינג׳ר ולימון,medium,short_step,steps[3],"שלב 3 קצר מאוד (15 תווים): ""מבשלים 35 דקות."""
mne1,meat,בשר עם תאנים,medium,short_step,steps[3],"שלב 3 קצר מאוד (16 תווים): ""מוסיפים כוס מים."""
mne1,meat,בשר עם תאנים,medium,short_step,steps[4],"שלב 4 קצר מאוד (15 תווים): ""מבשלים 55 דקות."""
mne2,meat,בשר עם אגסים וזעפרן,medium,short_step,steps[3],"שלב 3 קצר מאוד (15 תווים): ""מבשלים 60 דקות."""
mne3,meat,ראס אל-חנות עם שום שלם,medium,short_step,steps[3],"שלב 3 קצר מאוד (16 תווים): ""מוסיפים כוס מים."""
mne4,meat,מחמר בשר — בשר אדום מרוקאי,medium,short_step,steps[2],"שלב 2 קצר מאוד (17 תווים): ""מחממים תנור 200°."""
hne1,hol,טאג׳ין תרנגול הודי עם ירקות,medium,short_step,steps[3],"שלב 3 קצר מאוד (15 תווים): ""מבשלים 80 דקות."""
hne3,hol,מחנצ׳ה — ספירלת עוף,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""מערבבים מילוי."""
dne2,des,עוגת שקדים תפוזים,medium,short_step,steps[3],"שלב 3 קצר מאוד (19 תווים): ""מוסיפים אבקת אפייה."""
dne4,des,ריבת תאנים ואגוזים,medium,short_step,steps[4],"שלב 4 קצר מאוד (16 תווים): ""מעבירים לצנצנות."""
spne2,span,פוחרו — שעועית פאבה ספרדית,medium,short_step,steps[1],"שלב 1 קצר מאוד (16 תווים): ""מטגנים בצל ושום."""
spne2,span,פוחרו — שעועית פאבה ספרדית,medium,short_step,steps[4],"שלב 4 קצר מאוד (15 תווים): ""מוסיפים כוסברה."""
