id,category,title,severity,code,field,detail
spn1,span,אדאפינה — חמין יהודי-ספרדי,medium,short_step,steps[3],"שלב 3 קצר מאוד (14 תווים): ""מביאים לרתיחה."""
rer6,hol,ח׳ובז — לחם תנור בגחלים,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""תפיחה 40 דקות."""
sf6,soups,מרק פסטה מרוקאי,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""מביאים לרתיחה."""
def5,des,לחם מתוק לשבת,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""תפיחה 45 דקות."""
spf5,span,קרֶפּ ספרדי-מרוקאי,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""מנוחה 15 דקות."""
add9,fish,בקלה עם תפוחי אדמה,medium,short_step,steps[1],"שלב 1 קצר מאוד (11 תווים): ""שורים בקלה."""
add24,fish,דג עם ירק ים,medium,short_step,steps[1],"שלב 1 קצר מאוד (18 תווים): ""מפוגגים אצות במים."""
add39,soups,מרק זנגביל — ג׳ינג׳ר ולימון,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""מביאים לרתיחה."""
add45,hol,מלאווי — לחם שבת שמוט,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""תפיחה 45 דקות."""
add47,span,טרמסוס — לופינוס,medium,short_step,steps[3],"שלב 3 קצר מאוד (13 תווים): ""שומרים במקרר."""
add54,hol,פיתה מרוקאית,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""תפיחה 30 דקות."""
ex36,des,מסמן עם דבש,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""מנוחה 15 דקות."""
hv4,hol,פרנה מימונה,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""תפיחה 45 דקות."""
mw5,meat,קוזידו מרוקאי,medium,short_step,steps[2],"שלב 2 קצר מאוד (19 תווים): ""מסירים קצף בעדינות."""
hw3,hol,קוסקוס בצל,medium,short_step,steps[4],"שלב 4 קצר מאוד (18 תווים): ""קוסקוס עם בצל מעל."""
holfx5,hol,פסה — לחם מקושקש,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""תפיחה 30 דקות."""
hn20,hol,בטבוט — לחם מרוקאי חגיגי,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""תפיחה 40 דקות."""
spe10,span,פאן דה-מוארטוס,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""תפיחה 40 דקות."""
iq20,iraq,כבד ולב עיראקי מטוגן,medium,short_step,steps[4],"שלב 4 קצר מאוד (18 תווים): ""מגישים מיד עם לחם."""
ku22,kurd,ריבת חבוש כורדית,medium,short_step,steps[2],"שלב 2 קצר מאוד (14 תווים): ""מביאים לרתיחה."""
as14,ashk,בלינצ׳ס (פנקייק שמרים),medium,short_step,steps[3],"שלב 3 קצר מאוד (17 תווים): ""תפיחה 30–40 דקות."""
as25,ashk,מרק ירק אשכנזי,medium,short_step,steps[2],"שלב 2 קצר מאוד (19 תווים): ""מסירים קצף בעדינות."""
as28,ashk,עוגת תפוחים שמרים,medium,short_step,steps[4],"שלב 4 קצר מאוד (16 תווים): ""מכסים בבצק השני."""
ye8,yem,אסיד (בצק בישול),medium,short_step,steps[1],"שלב 1 קצר מאוד (19 תווים): ""מרתיחים מים עם מלח."""
ye9,yem,פחסה (ראש כבש),medium,short_step,steps[2],"שלב 2 קצר מאוד (19 תווים): ""לרתיחה. מסירים קצף."""
ye15,yem,מרק פחסה (ציר עצמות),medium,short_step,steps[3],"שלב 3 קצר מאוד (19 תווים): ""מסירים קצף בעדינות."""
ye22,yem,מרק עוף תימני עם זחוק,medium,short_step,steps[2],"שלב 2 קצר מאוד (19 תווים): ""מסירים קצף בעדינות."""
bu8,buk,שורבה (מרק בוכרי),medium,short_step,steps[2],"שלב 2 קצר מאוד (19 תווים): ""מסירים קצף בעדינות."""
bu9,buk,ירוגי (סלט ירקות בוכרי),medium,short_step,steps[3],"שלב 3 קצר מאוד (11 תווים): ""מגישים מיד."""
bu12,buk,קיסמיק (חזרת עם סלק),medium,short_step,steps[2],"שלב 2 קצר מאוד (17 תווים): ""מגרדים סלק מבושל."""
tn9,tun,מרק קוסקוס (צ׳ורבה),medium,short_step,steps[5],"שלב 5 קצר מאוד (16 תווים): ""ממשיכים 20 דקות."""
tn22,tun,מרזגן (חמוצים תוניסיים),medium,short_step,steps[4],"שלב 4 קצר מאוד (16 תווים): ""שלושה ימים בחדר."""
tr22,turk,מרמלאדה (ריבת תפוז),medium,short_step,steps[2],"שלב 2 קצר מאוד (16 תווים): ""סוחטים מיץ תפוז."""
tr25,turk,אורז פילאף (טורקי),medium,short_step,steps[5],"שלב 5 קצר מאוד (14 תווים): ""אידוי 10 דקות."""
tr27,turk,סרמה (עלי גפן ממולאים),medium,short_step,steps[2],"שלב 2 קצר מאוד (15 תווים): ""גוללים עלי גפן."""
dn19,des,קראב-ביסו — עוגיות תמרים ושקדים לאורח,medium,short_step,steps[5],"שלב 5 קצר מאוד (17 תווים): ""מפדרים אבקת סוכר."""
